,nome_database,activaction_func,func_hidden_layer,regressor,media_erro_elm_train,devpad_elm_train,media_erro_elm_test,devpad_elm_test
0,yale,relu,uniform_random_layer,ls,0.0,0.0,0.20366666666666666,0.0377550585278906
1,yale,relu,normal_random_layer,ls,0.0,0.0,0.21566666666666662,0.045996376668892815
2,yale,relu,SCAWI,ls,0.0,0.0,0.22333333333333333,0.04841946348777985
3,yale,relu,nguyanatal,ls,0.0,0.0,0.23966666666666664,0.043319228473687715
4,yale,relu,uniform_random_layer,pinv,0.0,0.0,0.20366666666666666,0.0377550585278906
5,yale,relu,normal_random_layer,pinv,0.0,0.0,0.21566666666666662,0.045996376668892815
6,yale,relu,SCAWI,pinv,0.0,0.0,0.22333333333333333,0.04841946348777985
7,yale,relu,nguyanatal,pinv,0.0,0.0,0.23966666666666664,0.043319228473687715
8,yale,relu,uniform_random_layer,ls_dual,0.0,0.0,0.22833333333333333,0.04058598553961974
9,yale,relu,normal_random_layer,ls_dual,0.0,0.0,0.24466666666666664,0.04452714527865746
10,yale,relu,SCAWI,ls_dual,0.26952380952380955,0.0362030053499966,0.45733333333333326,0.04889444412882374
11,yale,relu,nguyanatal,ls_dual,0.0,0.0,0.2383333333333333,0.04284986710727481
12,yale,sigmoid,uniform_random_layer,ls,0.0,0.0,0.19800000000000000,0.03824482535803591
13,yale,sigmoid,normal_random_layer,ls,0.0,0.0,0.25266666666666665,0.040463975747982724
14,yale,sigmoid,SCAWI,ls,0.0,0.0,0.20900000000000002,0.043742935937639636
15,yale,sigmoid,nguyanatal,ls,0.0,0.0,0.21066666666666667,0.04963869458396343
16,yale,sigmoid,uniform_random_layer,pinv,0.0,0.0,0.19800000000000000,0.03824482535803591
17,yale,sigmoid,normal_random_layer,pinv,0.0,0.0,0.25266666666666665,0.040463975747982724
18,yale,sigmoid,SCAWI,pinv,0.0,0.0,0.20900000000000002,0.043742935937639636
19,yale,sigmoid,nguyanatal,pinv,0.0,0.0,0.21066666666666667,0.04963869458396343
20,yale,sigmoid,uniform_random_layer,ls_dual,0.0,0.0,0.19833333333333333,0.038477987935383984
21,yale,sigmoid,normal_random_layer,ls_dual,0.0,0.0,0.25133333333333335,0.044701478971307246
22,yale,sigmoid,SCAWI,ls_dual,0.2731428571428572,0.03882351486048693,0.4653333333333334,0.04897164712588522
23,yale,sigmoid,nguyanatal,ls_dual,0.0,0.0,0.19200000000000000,0.04573352769638
24,yale,tanh,uniform_random_layer,ls,0.0,0.0,0.22899999999999998,0.04025060386020454
25,yale,tanh,normal_random_layer,ls,0.0,0.0,0.27166666666666667,0.04310839052125856
26,yale,tanh,SCAWI,ls,0.0,0.0,0.21833333333333335,0.039895697345286085
27,yale,tanh,nguyanatal,ls,0.0,0.0,0.21799999999999997,0.046766559752788234
28,yale,tanh,uniform_random_layer,pinv,0.0,0.0,0.22899999999999998,0.04025060386020454
29,yale,tanh,normal_random_layer,pinv,0.0,0.0,0.27166666666666667,0.04310839052125856
30,yale,tanh,SCAWI,pinv,0.0,0.0,0.21833333333333335,0.039895697345286085
31,yale,tanh,nguyanatal,pinv,0.0,0.0,0.21799999999999997,0.046766559752788234
32,yale,tanh,uniform_random_layer,ls_dual,0.0,0.0,0.2366666666666667,0.040551750201988146
33,yale,tanh,normal_random_layer,ls_dual,0.0,0.0,0.27033333333333337,0.0405914605140868
34,yale,tanh,SCAWI,ls_dual,0.26323809523809527,0.036527751696359995,0.4556666666666667,0.04860384072615386
35,yale,tanh,nguyanatal,ls_dual,0.0,0.0,0.21866666666666668,0.046742795047888294
36,orl,relu,uniform_random_layer,ls,0.0,0.0,0.06066666666666667,0.018711256267581595
37,orl,relu,normal_random_layer,ls,0.0,0.0,0.05999999999999999,0.022912878474779193
38,orl,relu,SCAWI,ls,0.0,0.0,0.11300000000000000,0.020080393975772045
39,orl,relu,nguyanatal,ls,0.0,0.0,0.10416666666666666,0.021810420547170667
40,orl,relu,uniform_random_layer,pinv,0.0,0.0,0.06066666666666667,0.018711256267581595
41,orl,relu,normal_random_layer,pinv,0.0,0.0,0.05999999999999999,0.022912878474779193
42,orl,relu,SCAWI,pinv,0.0,0.0,0.11300000000000000,0.020080393975772045
43,orl,relu,nguyanatal,pinv,0.0,0.0,0.10416666666666666,0.021810420547170667
44,orl,relu,uniform_random_layer,ls_dual,0.0,0.0,0.04733333333333333,0.016451950239004084
45,orl,relu,normal_random_layer,ls_dual,0.0,0.0,0.04999999999999999,0.020069324297987155
46,orl,relu,SCAWI,ls_dual,0.19164285714285717,0.019504185840637445,0.3246666666666666,0.0308202675019035
47,orl,relu,nguyanatal,ls_dual,0.0,0.0,0.08683333333333332,0.02028203912606204
48,orl,sigmoid,uniform_random_layer,ls,0.0,0.0,0.10116666666666665,0.024777341799851454
49,orl,sigmoid,normal_random_layer,ls,0.0,0.0,0.14950000000000002,0.025517423241559655
50,orl,sigmoid,SCAWI,ls,0.0,0.0,0.06866666666666667,0.021249836600678966
51,orl,sigmoid,nguyanatal,ls,0.0,0.0,0.059666666666666666,0.020231987873991355
52,orl,sigmoid,uniform_random_layer,pinv,0.0,0.0,0.10116666666666665,0.024777341799851454
53,orl,sigmoid,normal_random_layer,pinv,0.0,0.0,0.14950000000000002,0.025517423241559655
54,orl,sigmoid,SCAWI,pinv,0.0,0.0,0.06866666666666667,0.021249836600678966
55,orl,sigmoid,nguyanatal,pinv,0.0,0.0,0.059666666666666666,0.020231987873991355
56,orl,sigmoid,uniform_random_layer,ls_dual,0.0,0.0,0.06849999999999999,0.02518211446421624
57,orl,sigmoid,normal_random_layer,ls_dual,0.0,0.0,0.08283333333333333,0.019889276842895348
58,orl,sigmoid,SCAWI,ls_dual,0.31735714285714284,0.021747742083128668,0.41383333333333333,0.027618934728833318
59,orl,sigmoid,nguyanatal,ls_dual,0.0,0.0,0.04133333333333334,0.01657977348726117
60,orl,tanh,uniform_random_layer,ls,0.0,0.0,0.16649999999999998,0.03376758800980609
61,orl,tanh,normal_random_layer,ls,0.0,0.0,0.2086666666666667,0.03662725154247252
62,orl,tanh,SCAWI,ls,0.0,0.0,0.07883333333333335,0.0195227787184327
63,orl,tanh,nguyanatal,ls,0.0,0.0,0.06983333333333333,0.020942381271797456
64,orl,tanh,uniform_random_layer,pinv,0.0,0.0,0.16649999999999998,0.03376758800980609
65,orl,tanh,normal_random_layer,pinv,0.0,0.0,0.2086666666666667,0.03662725154247252
66,orl,tanh,SCAWI,pinv,0.0,0.0,0.07883333333333335,0.0195227787184327
67,orl,tanh,nguyanatal,pinv,0.0,0.0,0.06983333333333333,0.020942381271797456
68,orl,tanh,uniform_random_layer,ls_dual,0.0,0.0,0.07633333333333332,0.025296025159872226
69,orl,tanh,normal_random_layer,ls_dual,0.0,0.0,0.08066666666666666,0.022012622641465404
70,orl,tanh,SCAWI,ls_dual,0.24192857142857147,0.022244123278029257,0.3653333333333333,0.03437376260399137
71,orl,tanh,nguyanatal,ls_dual,0.0,0.0,0.06333333333333334,0.019720265943665383
