,nome_database,activaction_func,func_hidden_layer,regressor,media_erro_elm_train,devpad_elm_train,media_erro_elm_test,devpad_elm_test
0,MNIST,relu,uniform_random_layer,pinv,0.05448566666666666,0.0009799887187559272,0.056516000000000004,0.0015565808684421137
1,MNIST,relu,normal_random_layer,pinv,0.054426333333333334,0.0008895385195581892,0.056533999999999994,0.0018278522916253329
2,MNIST,relu,SCAWI,pinv,0.14346233333333333,0.0003327129226358562,0.139372,0.0008706411430664207
3,MNIST,relu,nguyanatal,pinv,0.13842466666666667,0.0015138700957039468,0.13513999999999998,0.001877551597160515
4,MNIST,relu,uniform_random_layer,ls_dual,,,,
5,MNIST,relu,normal_random_layer,ls_dual,,,,
6,MNIST,relu,SCAWI,ls_dual,,,,
7,MNIST,relu,nguyanatal,ls_dual,,,,
8,MNIST,sigmoid,uniform_random_layer,pinv,0.06212533333333333,0.0008957817194433535,0.06389,0.0014469623353771206
9,MNIST,sigmoid,normal_random_layer,pinv,0.06697733333333333,0.0009212838867580423,0.06851000000000002,0.0015900000000000005
10,MNIST,sigmoid,SCAWI,pinv,0.1422943333333333,1.1836853936375165e-05,0.13970200000000005,1.3999999999998458e-05
11,MNIST,sigmoid,nguyanatal,pinv,0.07217166666666666,0.0013147633923173314,0.073406,0.001874610359514731
12,MNIST,sigmoid,uniform_random_layer,ls_dual,,,,
13,MNIST,sigmoid,normal_random_layer,ls_dual,,,,
14,MNIST,sigmoid,SCAWI,ls_dual,,,,
15,MNIST,sigmoid,nguyanatal,ls_dual,,,,
16,MNIST,tanh,uniform_random_layer,pinv,0.06821166666666667,0.0009512170566641954,0.069978,0.0018412267649586212
17,MNIST,tanh,normal_random_layer,pinv,0.072691,0.0009734486803798785,0.07403199999999999,0.0015109520177689205
18,MNIST,tanh,SCAWI,pinv,0.14229366666666665,2.557994005726341e-05,0.13973000000000005,4.5825756949553354e-05
19,MNIST,tanh,nguyanatal,pinv,0.07005899999999998,0.0011630668749283257,0.071438,0.0019069231762186957
20,MNIST,tanh,uniform_random_layer,ls_dual,,,,
21,MNIST,tanh,normal_random_layer,ls_dual,,,,
22,MNIST,tanh,SCAWI,ls_dual,,,,
23,MNIST,tanh,nguyanatal,ls_dual,,,,
