,nome_database,activaction_func,func_hidden_layer,regressor,media_erro_elm_train,devpad_elm_train,media_erro_elm_test,devpad_elm_test
0,YaleB,relu,uniform_random_layer,pinv,0.0012236842105262946,0.0007895833257198739,0.09738255033557047,0.010429495650914935
1,YaleB,relu,normal_random_layer,pinv,0.0013552631578947283,0.0008154710753866548,0.09664429530201342,0.009937016695531462
2,YaleB,relu,SCAWI,pinv,0.004236842105263154,0.0011021258732301098,0.042214765100671146,0.00724849476415002
3,YaleB,relu,nguyanatal,pinv,0.004421052631578957,0.0011398109383004102,0.04371364653243849,0.006851045516383431
4,YaleB,relu,uniform_random_layer,ls_dual,0.0,0.0,0.394675615212528,0.10400143058715003
5,YaleB,relu,normal_random_layer,ls_dual,0.0,0.0,0.539261744966443,0.12075984103559688
6,YaleB,relu,SCAWI,ls_dual,0.3031447368421053,0.02359460021445115,0.39957494407158833,0.03208344630628353
7,YaleB,relu,nguyanatal,ls_dual,0.00457894736842106,0.001146776766815841,0.04033557046979866,0.006698010487748705
8,YaleB,sigmoid,uniform_random_layer,pinv,0.0005131578947368243,0.0005145056525267534,0.10988814317673377,0.009798964170378718
9,YaleB,sigmoid,normal_random_layer,pinv,0.000289473684210515,0.00039823015659002536,0.14378076062639822,0.010925863931517305
10,YaleB,sigmoid,SCAWI,pinv,0.002723684210526307,0.000984734591687773,0.04299776286353468,0.00637548568431566
11,YaleB,sigmoid,nguyanatal,pinv,0.002881578947368415,0.0010761356173995937,0.04369127516778523,0.006907681872071677
12,YaleB,sigmoid,uniform_random_layer,ls_dual,0.0,0.0,0.11483221476510068,0.028527314741146868
13,YaleB,sigmoid,normal_random_layer,ls_dual,0.0,0.0,0.09116331096196868,0.020613546443385474
14,YaleB,sigmoid,SCAWI,ls_dual,0.8188815789473685,0.023769674020631664,0.8717897091722594,0.020167620830135128
15,YaleB,sigmoid,nguyanatal,ls_dual,0.004078947368421048,0.0010689524216626351,0.024720357941834453,0.005535500237878572
16,YaleB,tanh,uniform_random_layer,pinv,0.00031578947368419817,0.00039996537246237026,0.1646085011185682,0.013060662493305978
17,YaleB,tanh,normal_random_layer,pinv,0.0001710526315789407,0.0003171571261366705,0.1949440715883669,0.011695410527603369
18,YaleB,tanh,SCAWI,pinv,0.002763157894736832,0.0010106770720879747,0.0423937360178971,0.006348305871884881
19,YaleB,tanh,nguyanatal,pinv,0.002960526315789467,0.0010297681475327954,0.04351230425055929,0.005856214815529497
20,YaleB,tanh,uniform_random_layer,ls_dual,0.0,0.0,0.06854586129753915,0.009944669230599447
21,YaleB,tanh,normal_random_layer,ls_dual,0.0,0.0,0.05910514541387026,0.008404490279683988
22,YaleB,tanh,SCAWI,ls_dual,0.3508815789473684,0.020411118208892815,0.45143176733780765,0.029853066866727253
23,YaleB,tanh,nguyanatal,ls_dual,0.003842105263157891,0.0010555879536911464,0.02736017897091723,0.006160092461633576
